year,artists,danceability,explicit,id,loudness,name,popularity,release_date,speechiness
2001,['system of a down'],0.364,0,4e9eGQYsOiBcftrWXwsVco,-4.217,aerials,1,2001-09-04,0.0566
2005,['jars of clay'],0.499,0,3Ibqth7iNwWwM28ZWcLk3Q,-5.207000000000002,i'll fly away,0,2005-03-22,0.0245
2001,['banda cuisillos'],0.38,0,7AzWgBsTUlIgytC9f90y6W,-6.678999999999999,cartas marcadas,0,2001-04-10,0.0421
2011,['mac miller'],0.617,1,24OMJgeZvpSu92TbAe2WYh,-5.21,party on fifth ave.,1,2011-11-08,0.32799999999999996
2011,['frank ocean'],0.653,0,3CgZCQyuyxHRMWB9BTwmni,-8.183,swim good,1,2011-01-01,0.0881
2010,['the green'],0.797,0,08t55fz74zFgkIrHiLPecf,-10.061,what will be will be,0,2010-02-02,0.0672
2019,"['diplo', 'sidepiece']",0.7709999999999999,0,5lXY6PTuWXOludKy4zDQwM,-6.574,on my mind,1,2019-12-13,0.0409
2017,['two feet'],0.532,1,6MiVIH3fQlmz44jGx2DXn4,-9.754,love is a bitch,1,2017-05-19,0.0541
2006,['brian culbertson'],0.568,0,50tvTrOncN0bHo6GsTRuW0,-9.258,deck the halls,0,2006-01-01,0.0233
2003,['creed bratton'],0.623,0,4BJhs8XWyr2M4MLvS4CSKx,-20.568,all the faces,0,2003-01-01,0.0321
2020,"['calvin harris', 'the weeknd']",0.612,1,58AGoOGbwsQMhBbH0eFLRR,-4.113,over now (with the weeknd),1,2020-08-28,0.0454
2013,['idina menzel'],0.541,0,6kOXFFNTzraDTj6fceHenx,-6.85,"let it go - from ""frozen""/soundtrack version",0,2013-01-01,0.031
2013,['heart'],0.23600000000000002,0,6gOgTWY8trzXja4ZfmqFKt,-11.523,stairway to heaven (live at the kennedy center honors),1,2013-01-15,0.0601
2000,['eminem'],0.473,1,4HsaoezrUA96qMzDK3ZWnq,-10.571,ken kaniff - skit,0,2000-05-23,0.846
2006,['the raconteurs'],0.524,0,19iqWNzp5LwEdvntpEK8MP,-4.563,"steady, as she goes",1,2006,0.12
2019,['frank ocean'],0.8190000000000001,1,2INhKpUdzh7v0j041gZNsz,-10.222999999999999,dhl,1,2019-10-19,0.16699999999999998
2014,['drowning pool'],0.615,0,1cqWEQ6TRfYr3SBNh7Ni2w,-4.3180000000000005,bodies,1,2014-01-01,0.0798
2018,"['a$ap rocky', 'moby']",0.469,1,1YmF9PvLhIISIANoMLIYGq,-6.49,a$ap forever (feat. moby),1,2018-04-05,0.122
2011,"['michael potts', 'andrew rannells', 'josh gad', 'michael james scott', 'lawrence stallings', 'rema webb', 'tyson jennette', 'maia nkenge wilson', 'brian tyree henry', 'darlesia cearcy', 'tommar wilson', ""ta'rea campbell"", 'john eric parker']",0.76,1,52a9fyhPzrMz6bxVQoEIcX,-8.782,hasa diga eebowai,0,2011-05-17,0.3720000000000001
2000,['hypnotize camp posse'],0.812,1,65AtPW1XAMCasgEQrTVrXY,-3.1660000000000004,m.e.m.p.h.i.s.,0,2000-06-13,0.248
2006,['all that remains'],0.5529999999999999,0,7KzTfufz9OG0uYWjrTYGwp,-3.415,whispers (i hear you),0,2006-07-11,0.0704
2009,['john mayer'],0.526,0,1wkaoS4jTVXYMUWHKVFZTk,-7.89,"friends, lovers or nothing",0,2009-11-13,0.028999999999999998
